iteration,action_loss,weighted_action_loss,actual_final_position_mse,actual_final_velocity_mse,state_error_weight_mean,state_error_weight_min,state_error_weight_max,batch_time_seconds,batch_size,action_abs,step_limit,grad_norm,grad_clip_amount,grad_clip_fraction
17600,0.026219399645924568,0.024154603481292725,0.0017056303331628442,0.9042810797691345,1.0014793872833252,0.7089465260505676,1.0471217632293701,0.35681769996881485,64.0,0.10525941103696823,2.09375,0.0,0.0,0.0
17800,0.025628354400396347,0.023874986916780472,0.0013477946631610394,0.7395285367965698,1.0012279748916626,0.7449977397918701,1.0470635890960693,0.34666959987953305,64.0,0.10456779971718788,2.03125,0.0,0.0,0.0
18000,0.024251820519566536,0.02237052097916603,0.0015401566633954644,0.9210073947906494,1.0020623207092285,0.6811409592628479,1.0480101108551025,0.39710240019485354,64.0,0.10318947397172451,2.015625,0.0,0.0,0.0
18200,0.02435741387307644,0.022956710308790207,0.00134706636890769,0.8835673928260803,1.0012441873550415,0.7928526997566223,1.0440598726272583,0.36452380008995533,64.0,0.1079412226875623,2.03125,0.0,0.0,0.0
18400,0.025836903601884842,0.023535752668976784,0.0018277610652148724,0.929289698600769,1.0013864040374756,0.8082568645477295,1.0473092794418335,0.42690539988689125,64.0,0.10283292271196842,2.046875,0.0,0.0,0.0
18600,0.02526995912194252,0.023994948714971542,0.0009571018163114786,0.9759401679039001,1.000539779663086,0.9263777732849121,1.0468955039978027,0.3077484997920692,64.0,0.11038672924041748,1.9375,0.0,0.0,0.0
18800,0.02513497695326805,0.02308419533073902,0.001302123419009149,1.1147964000701904,1.001295566558838,0.8053677082061768,1.0480918884277344,0.37307790014892817,64.0,0.11030602268874645,1.953125,0.0,0.0,0.0
19000,0.02446855418384075,0.022517602890729904,0.0014158491976559162,0.795933723449707,1.0012255907058716,0.8348287343978882,1.0473668575286865,0.3474819997791201,64.0,0.10756736745436986,1.921875,0.0,0.0,0.0
19200,0.026072433218359947,0.024465223774313927,0.001507216482423246,1.0044844150543213,1.0020948648452759,0.6417474746704102,1.0499358177185059,0.3381089000031352,64.0,0.10168299078941345,2.109375,0.0,0.0,0.0
19400,0.025596581399440765,0.02383977174758911,0.0012804139405488968,0.7478316426277161,1.0008840560913086,0.8700688481330872,1.0463306903839111,0.34929429995827377,64.0,0.10842236379782359,1.984375,0.0,0.0,0.0
19600,0.02580154873430729,0.02386031299829483,0.002708406187593937,0.827178418636322,1.0047111511230469,0.45949724316596985,1.0452637672424316,0.3705382999032736,64.0,0.09922469407320023,2.234375,0.0,0.0,0.0
19800,0.023201068863272667,0.02220790833234787,0.0008102393476292491,0.9310206174850464,1.0007866621017456,0.8172029852867126,1.046081781387329,0.3622033998835832,64.0,0.10974122087160747,1.921875,0.0,0.0,0.0
20000,0.024454807862639427,0.022821694612503052,0.0009558666497468948,0.663650393486023,1.0007952451705933,0.8709182739257812,1.0482432842254639,0.30865129991434515,64.0,0.11134329686562221,1.859375,0.0,0.0,0.0
20200,0.02502932772040367,0.02346222475171089,0.0015141937183216214,0.925226628780365,1.0010520219802856,0.800773024559021,1.047461748123169,0.38330250000581145,64.0,0.10073091462254524,2.203125,0.0,0.0,0.0
20400,0.0257541723549366,0.023445798084139824,0.0014089031610637903,0.9328393936157227,1.0016342401504517,0.7441649436950684,1.047485113143921,0.32613499998115003,64.0,0.10342736914753914,2.140625,0.0,0.0,0.0
20600,0.023646440356969833,0.022134337574243546,0.0009801092091947794,0.7705547213554382,1.0015695095062256,0.7259816527366638,1.0477428436279297,0.31103670014999807,64.0,0.10465629771351814,1.90625,0.0,0.0,0.0
20800,0.024541227146983147,0.02245420590043068,0.0017990975175052881,0.8765888214111328,1.0028553009033203,0.6021682620048523,1.048505187034607,0.347115800017491,64.0,0.10770285377899806,2.046875,0.0,0.0,0.0
21000,0.023663517087697983,0.022218937054276466,0.002027958631515503,1.1777979135513306,1.00375497341156,0.5012969374656677,1.0486029386520386,0.30333150015212595,64.0,0.10427535884082317,2.09375,0.0,0.0,0.0
21200,0.024225039407610893,0.02276383340358734,0.0011121417628601193,0.9389482140541077,1.0014113187789917,0.8317648768424988,1.0484658479690552,0.40942609985359013,64.0,0.10504269041121006,1.96875,0.0,0.0,0.0
21400,0.024569977074861526,0.022791428491473198,0.001124655012972653,0.8575289249420166,1.000958800315857,0.8298964500427246,1.0451977252960205,0.3164445001166314,64.0,0.11501822372277577,1.96875,0.0,0.0,0.0
21600,0.024127701297402382,0.022425998002290726,0.0014334175502881408,1.3808162212371826,1.0014209747314453,0.7644563913345337,1.0486637353897095,0.3696672001387924,64.0,0.10556638240814209,2.09375,0.0,0.0,0.0
21800,0.025308292359113693,0.022471776232123375,0.0010465740924701095,0.6886714100837708,1.001857042312622,0.790928065776825,1.0491597652435303,0.30542950006201863,64.0,0.10268112644553185,1.921875,0.0,0.0,0.0
22000,0.02344364859163761,0.02220417931675911,0.001186064793728292,1.0103710889816284,1.0018391609191895,0.6624449491500854,1.0495834350585938,0.33521370007656515,64.0,0.11180328577756882,1.953125,0.0,0.0,0.0
22200,0.025523561984300613,0.023522214964032173,0.0011381327640265226,0.9584386348724365,1.0015878677368164,0.7533695697784424,1.046618938446045,0.3126109999138862,64.0,0.09973988309502602,1.96875,0.0,0.0,0.0
22400,0.024649882689118385,0.023220054805278778,0.0017299158498644829,1.1029589176177979,1.0013753175735474,0.8064653277397156,1.048156499862671,0.3281680999789387,64.0,0.10667428933084011,2.1875,0.0,0.0,0.0
22600,0.022441668435931206,0.020662887021899223,0.0010470746783539653,0.8225663304328918,1.003082036972046,0.5624105930328369,1.046107530593872,0.3128724000416696,64.0,0.1176372766494751,1.859375,0.0,0.0,0.0
22800,0.023552503436803818,0.021893175318837166,0.001160153653472662,0.7549375295639038,1.0029023885726929,0.552849292755127,1.0464919805526733,0.302847099956125,64.0,0.09816108644008636,1.921875,0.0,0.0,0.0
23000,0.02645644173026085,0.024200404062867165,0.0013687261380255222,1.1178125143051147,1.001297116279602,0.8041190505027771,1.0478178262710571,0.3298930998425931,64.0,0.11111796647310257,2.09375,0.0,0.0,0.0
23200,0.023428773507475853,0.021645747125148773,0.0012727392604574561,1.0036722421646118,1.0015774965286255,0.7703106999397278,1.0478110313415527,0.32939209998585284,64.0,0.11251458774010341,1.921875,0.0,0.0,0.0
23400,0.02421797253191471,0.02202378772199154,0.0010035266168415546,0.8653102517127991,1.0015196800231934,0.8024443984031677,1.0462602376937866,0.3014249000698328,64.0,0.11374975989262263,1.90625,0.0,0.0,0.0
23600,0.02362350933253765,0.022173160687088966,0.0014981154818087816,0.8633413314819336,1.0020387172698975,0.6613234281539917,1.0485094785690308,0.3270858998876065,64.0,0.11057675381501515,2.078125,0.0,0.0,0.0
23800,0.025068948045372963,0.02329878881573677,0.001335138687863946,1.216529369354248,1.0010753870010376,0.8458575010299683,1.0487104654312134,0.3679107998032123,64.0,0.10778364911675453,2.109375,0.0,0.0,0.0
24000,0.024548089131712914,0.022719377651810646,0.0014467653818428516,0.8145093321800232,1.0011177062988281,0.8268810510635376,1.045395016670227,0.31160519993864,64.0,0.10825837900241216,2.0,0.0,0.0,0.0
24200,0.0258135087788105,0.024167656898498535,0.0020243164617568254,1.244942307472229,1.0022073984146118,0.7305190563201904,1.0488824844360352,0.42431869986467063,64.0,0.10202286392450333,2.109375,0.0,0.0,0.0
24400,0.025030765682458878,0.02304905280470848,0.001351783168502152,0.894824743270874,1.0016710758209229,0.7552931308746338,1.0472897291183472,0.31913019996136427,64.0,0.11210352927446365,2.0,0.0,0.0,0.0
24600,0.026375776156783104,0.023683512583374977,0.0014173053205013275,0.7268790006637573,1.0021559000015259,0.6691185832023621,1.046305537223816,0.30955860018730164,64.0,0.10478910803794861,1.859375,0.0,0.0,0.0
24800,0.023900050669908524,0.02244107611477375,0.0012074359692633152,1.2222501039505005,1.001616358757019,0.7905553579330444,1.047489881515503,0.3771884001325816,64.0,0.10897812061011791,2.15625,0.0,0.0,0.0
25000,0.02212868630886078,0.020715927705168724,0.0014771227724850178,1.1209282875061035,1.0020418167114258,0.7099121809005737,1.0471521615982056,0.3421122001018375,64.0,0.10868757218122482,2.0625,0.0,0.0,0.0
25200,0.024065382778644562,0.022501150146126747,0.0012336216168478131,1.1215168237686157,1.001340627670288,0.8098317384719849,1.0447301864624023,0.3143331001047045,64.0,0.11441920946041743,2.015625,0.0,0.0,0.0
25400,0.02256353758275509,0.021085895597934723,0.0010356333805248141,0.9408048987388611,1.0008219480514526,0.8858591914176941,1.0474998950958252,0.32454789988696575,64.0,0.10640674084424973,1.953125,0.0,0.0,0.0
25600,0.023614704608917236,0.022068345919251442,0.0012144355569034815,1.1938891410827637,1.0019127130508423,0.7084870934486389,1.0482174158096313,0.3703459999524057,64.0,0.10593140684068203,2.078125,0.0,0.0,0.0
25800,0.024530375376343727,0.022083044052124023,0.0012351499171927571,1.3635001182556152,1.001950979232788,0.7071748971939087,1.0490126609802246,0.36405690014362335,64.0,0.11231585405766964,1.96875,0.0,0.0,0.0
26000,0.0252834539860487,0.022862005978822708,0.0017102011479437351,0.7776588201522827,1.0018093585968018,0.7624937295913696,1.0483759641647339,0.44354790006764233,64.0,0.11423245444893837,2.078125,0.0,0.0,0.0
26200,0.023339537903666496,0.02130023017525673,0.0009198873885907233,1.2842903137207031,1.0009279251098633,0.8134798407554626,1.0494379997253418,0.5130451999139041,64.0,0.10921339131891727,1.96875,0.0,0.0,0.0
26400,0.025081930682063103,0.02209034189581871,0.0013722332660108805,0.7614189982414246,1.002301812171936,0.6946563720703125,1.046398401260376,0.34279530006460845,64.0,0.10424385964870453,2.078125,0.0,0.0,0.0
26600,0.023172074928879738,0.022034060209989548,0.0012772161280736327,0.8195774555206299,1.001434326171875,0.8213837146759033,1.0470815896987915,0.25688280002214015,64.0,0.11497028420368831,2.078125,0.0,0.0,0.0
26800,0.02763287164270878,0.025566814467310905,0.0021466852631419897,1.0245139598846436,1.0015161037445068,0.7088157534599304,1.0466341972351074,0.39618770009838045,64.0,0.10550293512642384,2.390625,0.0,0.0,0.0
27000,0.0233747661113739,0.021349571645259857,0.0016119376523420215,0.8166947960853577,1.0020822286605835,0.6598452925682068,1.0477744340896606,0.4044788999017328,64.0,0.10907375253736973,2.078125,0.0,0.0,0.0
27200,0.026642130687832832,0.023706085979938507,0.0019327782792970538,0.8689635396003723,1.0015512704849243,0.7777352929115295,1.0483399629592896,0.3198512000963092,64.0,0.10000631026923656,2.25,0.0,0.0,0.0
27400,0.026200300082564354,0.024539941921830177,0.0018442972796037793,0.8897975087165833,1.001069188117981,0.8319921493530273,1.0463277101516724,0.3454460999928415,64.0,0.11092447303235531,2.390625,0.0,0.0,0.0
